name,rating,reviews,company_type,Head_Quarters
Foxconn,3.9,(2.5k),Electronics Manufacturing,Chennai +61 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.5k),Healthcare,Hyderabad +46 other locations
Foundever,3.3,(2.5k),BPO,Hyderabad +22 other locations
Tata Advanced Systems,3.7,(2.5k),Defence & Aerospace,Bengaluru +58 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking,Chhatrapati Sambhajinagar +101 other locations
BT Group,3.8,(2.5k),Telecom,Gurugram +24 other locations
Photon Interactive,4.1,(2.5k),IT Services & Consulting,Chennai +18 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances,Mumbai +234 other locations
V-Mart,4.1,(2.5k),Retail,Gurugram +284 other locations
Alldigi Tech,3.9,(2.5k),BPO,Chennai +36 other locations
IntouchCX,2.7,(2.5k),BPO,Hyderabad +22 other locations
Sammaan Capital Limited,3.8,(2.5k),NBFC,Gurugram +201 other locations
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery,Chennai +192 other locations
Northern Trust Operating Services,3.6,(2.5k),Financial Services,Bengaluru +27 other locations
Laurus Labs,4.3,(2.5k),Pharma,Visakhapatnam +34 other locations
JCB,3.9,(2.5k),Industrial Machinery,Pune +113 other locations
Parle Agro,4.0,(2.5k),Beverage,Mumbai +258 other locations
Planet Spark,3.9,(2.4k),EdTech,Gurugram +61 other locations
Patanjali Ayurved,3.9,(2.4k),FMCG,Haridwar +301 other locations
McDonald's,3.8,(2.4k),Hospitality,New Delhi +151 other locations
Canara HSBC Life Insurance,3.6,(2.4k),Insurance,Gurugram +315 other locations
Paras Hospital,4.1,(2.4k),Healthcare,Patna +62 other locations
ICICI Securities,3.9,(2.4k),Financial Services,Mumbai +148 other locations
Statestreet HCL Services,3.4,(2.4k),BPO,Chennai +18 other locations
Emcure Pharmaceuticals,3.6,(2.4k),Pharma,Pune +116 other locations
Hero FinCorp,3.9,(2.4k),NBFC,New Delhi +392 other locations
Biocon Limited,4.1,(2.4k),Biotechnology,Bengaluru +65 other locations
Mahindra Rural Housing Finance,4.0,(2.4k),NBFC,Mumbai +463 other locations
Mahindra Holidays & Resorts,3.5,(2.4k),Hospitality,Mumbai +113 other locations
